owner,amount
0xC642bEc0e4f69815e89723C09caA8DAa524cAc9c,43023120000000000000000
0x1ab5D3696e3b75cd88D2590692C4431050F048e8,43023120000000000000000
0x3096bA29D37919102D3a266a0CFeA5eb892C3f0e,43023120000000000000000
0x5f310dc66F4ecDE9a1769f1B7D75224dA592201e,43023120000000000000000
0x0e134579Ce3619397CCC0DC124cC3B43A94d18e1,43023120000000000000000
0x4127839cdf4F73d9fC9a2C2861d8d1799e9DF40C,43023120000000000000000
0x23727805c8426BCcf7A6e579eD5CFabfC5468F7e,43023120000000000000000
0x61257668245BAaFCeb3C4351e3686e58dacDa1fE,43023120000000000000000
0x7cB6E6Cbc845e79d9CA05F6577141DA36ad398f5,43023120000000000000000
0xAE849Cf7e97d72BE8beB5d8cA35f5E1ffb45e856,43023120000000000000000
0x7a9af6Ef9197041A5841e84cB27873bEBd3486E2,43023120000000000000000
0x95ddA5dc54331a1E6B65aF1Cd7167962A2f7f280,43023120000000000000000